R | (13137.427) X2 13:27:01.965
T | (13138.047) X1 13:27:02.584
R | (13138.061) X2 13:27:02.598
T | (13138.680) X1 13:27:03.217
R | (13138.790) X2 13:27:03.328
T | (13139.406) X1 13:27:03.943
R | (13139.417) X2 13:27:03.954
T | (13140.032) X1 13:27:04.570
R | (13140.043) X2 13:27:04.581
T | (13140.663) X1 13:27:05.200
R | (13140.675) X2 13:27:05.212
T | (13141.291) X1 13:27:05.828
R | (13141.302) X2 13:27:05.839
T | (13141.920) X1 13:27:06.458
R | (13141.933) X2 13:27:06.471
T | (13142.546) X1 13:27:07.083
R | (13142.557) X2 13:27:07.094
T | (13143.173) X1 13:27:07.710
R | (13143.184) X2 13:27:07.722
T | (13143.800) X1 13:27:08.338
R | (13143.815) X2 13:27:08.352
T | (13144.431) X1 13:27:08.969
R | (13144.442) X2 13:27:08.980
T | (13145.058) X1 13:27:09.595
R | (13145.074) X2 13:27:09.611
T | (13145.692) X1 13:27:10.229
R | (13145.703) X2 13:27:10.240
T | (13146.321) X1 13:27:10.859
R | (13146.333) X2 13:27:10.870
T | (13146.946) X1 13:27:11.484
R | (13146.958) X2 13:27:11.495
T | (13148.630) X1 13:27:13.167
R | (13148.648) X2 13:27:13.185
T | (13149.265) X1 13:27:13.802
R | (13149.276) X2 13:27:13.813
T | (13149.893) X1 13:27:14.430
R | (13149.907) X2 13:27:14.444
T | (13150.524) X1 13:27:15.061
R | (13150.534) X2 13:27:15.072
T | (13151.153) X1 13:27:15.690
R | (13151.166) X2 13:27:15.704
T | (13151.783) X1 13:27:16.320
R | (13151.793) X2 13:27:16.331
T | (13152.411) X1 13:27:16.949
R | (13152.425) X2 13:27:16.963
T | (13153.038) X1 13:27:17.576
R | (13153.049) X2 13:27:17.587
T | (13153.664) X1 13:27:18.201
R | (13153.675) X2 13:27:18.213
T | (13154.293) X1 13:27:18.830
R | (13154.306) X2 13:27:18.844
T | (13154.921) X1 13:27:19.459
R | (13154.933) X2 13:27:19.470
T | (13155.552) X1 13:27:20.089
R | (13155.566) X2 13:27:20.103
T | (13156.182) X1 13:27:20.720
R | (13156.194) X2 13:27:20.731
T | (13156.811) X1 13:27:21.349
R | (13156.825) X2 13:27:21.363
T | (13157.441) X1 13:27:21.978
R | (13157.452) X2 13:27:21.989
T | (13158.070) X1 13:27:22.607
R | (13158.084) X2 13:27:22.622
T | (13158.698) X1 13:27:23.235
R | (13158.709) X2 13:27:23.246
T | (13159.328) X1 13:27:23.865
R | (13159.344) X2 13:27:23.881
T | (13159.957) X1 13:27:24.494
R | (13159.967) X2 13:27:24.505
T | (13160.585) X1 13:27:25.123
R | (13160.602) X2 13:27:25.140
T | (13161.220) X1 13:27:25.758
R | (13161.231) X2 13:27:25.769
T | (13161.850) X1 13:27:26.387
R | (13161.861) X2 13:27:26.399
T | 28 31 33 31 36 32 2E 34 37 36 29 20 58 31 20 31 33 3A 32 37 3A 32 37 2E 30 31 33
R | 28 31 33 31 36 32 2E 34 38 37 29 20 58 32 20 31 33 3A 32 37 3A 32 37 2E 30 32 34
T | (13163.102) X1 13:27:27.640
R | (13163.120) X2 13:27:27.658
T | (13163.736) X1 13:27:28.274
R | (13163.747) X2 13:27:28.284
T | (13164.363) X1 13:27:28.901
R | (13164.380) X2 13:27:28.917
T | (13164.995) X1 13:27:29.533
R | (13165.006) X2 13:27:29.544
T | (13165.625) X1 13:27:30.163
R | 28 31 33 31 36 35 2E 36 33 39 29 20 58 32 20 31 33 3A 32 37 3A 33 30 2E 31 37 36
T | 28 31 33 31 36 36 2E 32 35 34 29 20 58 31 20 31 33 3A 32 37 3A 33 30 2E 37 39 31
R | 28 31 33 31 36 36 2E 32 36 35 29 20 58 32 20 31 33 3A 32 37 3A 33 30 2E 38 30 32
T | 28 31 33 31 36 36 2E 38 38 35 29 20 58 31 20 31 33 3A 32 37 3A 33 31 2E 34 32 32
R | (13166.898) X2 13:27:31.435
T | (13167.514) X1 13:27:32.052
R | (13167.525) X2 13:27:32.063
T | (13168.141) X1 13:27:32.678
R | (13168.157) X2 13:27:32.695
T | (13168.776) X1 13:27:33.314
R | (13168.787) X2 13:27:33.325
T | (13169.401) X1 13:27:33.939
R | (13169.416) X2 13:27:33.954
T | (13170.031) X1 13:27:34.568
R | (13170.042) X2 13:27:34.579
T | (13170.660) X1 13:27:35.198
R | (13170.675) X2 13:27:35.213
T | (13171.290) X1 13:27:35.827
R | (13171.301) X2 13:27:35.838
T | (13171.920) X1 13:27:36.458
R | (13171.935) X2 13:27:36.472
T | (13172.550) X1 13:27:37.088
R | (13172.561) X2 13:27:37.099
T | (13173.181) X1 13:27:37.718
R | (13173.194) X2 13:27:37.732
T | 28 31 33 31 37 33 2E 38 30 37 29 20 58 31 20 31 33 3A 32 37 3A 33 38 2E 33 34 35
R | 28 31 33 31 37 33 2E 38 31 39 29 20 58 32 20 31 33 3A 32 37 3A 33 38 2E 33 35 36
T | 28 31 33 31 37 34 2E 34 33 34 29 20 58 31 20 31 33 3A 32 37 3A 33 38 2E 39 37 32
R | 28 31 33 31 37 34 2E 34 34 35 29 20 58 32 20 31 33 3A 32 37 3A 33 38 2E 39 38 33
T | 28 31 33 31 37 35 2E 30 36 33 29 20 58 31 20 31 33 3A 32 37 3A 33 39 2E 36 30 30
R | 28 31 33 31 37 35 2E 30 37 35 29 20 58 32 20 31 33 3A 32 37 3A 33 39 2E 36 31 32
T | 28 31 33 31 37 35 2E 36 39 32 29 20 58 31 20 31 33 3A 32 37 3A 34 30 2E 32 32 39
R | 28 31 33 31 37 35 2E 37 30 33 29 20 58 32 20 31 33 3A 32 37 3A 34 30 2E 32 34 30
T | 28 31 33 31 37 36 2E 33 32 32 29 20 58 31 20 31 33 3A 32 37 3A 34 30 2E 38 35 39
R | 28 31 33 31 37 36 2E 33 33 34 29 20 58 32 20 31 33 3A 32 37 3A 34 30 2E 38 37 32
T | 28 31 33 31 37 36 2E 39 34 38 29 20 58 31 20 31 33 3A 32 37 3A 34 31 2E 34 38 35
R | 28 31 33 31 37 36 2E 39 35 38 29 20 58 32 20 31 33 3A 32 37 3A 34 31 2E 34 39 36
T | 28 31 33 31 37 37 2E 35 37 33 29 20 58 31 20 31 33 3A 32 37 3A 34 32 2E 31 31 30
R | 28 31 33 31 37 37 2E 35 38 34 29 20 58 32 20 31 33 3A 32 37 3A 34 32 2E 31 32 32
T | 28 31 33 31 37 38 2E 32 30 34 29 20 58 31 20 31 33 3A 32 37 3A 34 32 2E 37 34 31
R | 28 31 33 31 37 38 2E 32 31 35 29 20 58 32 20 31 33 3A 32 37 3A 34 32 2E 37 35 33
T | 28 31 33 31 37 38 2E 38 33 31 29 20 58 31 20 31 33 3A 32 37 3A 34 33 2E 33 36 38
R | 28 31 33 31 37 38 2E 38 34 32 29 20 58 32 20 31 33 3A 32 37 3A 34 33 2E 33 37 39
T | 28 31 33 31 37 39 2E 34 35 37 29 20 58 31 20 31 33 3A 32 37 3A 34 33 2E 39 39 35
R | 28 31 33 31 37 39 2E 34 37 34 29 20 58 32 20 31 33 3A 32 37 3A 34 34 2E 30 31 32
T | 28 31 33 31 38 30 2E 30 39 35 29 20 58 31 20 31 33 3A 32 37 3A 34 34 2E 36 33 32
R | 28 31 33 31 38 30 2E 31 31 32 29 20 58 32 20 31 33 3A 32 37 3A 34 34 2E 36 34 39
T | 28 31 33 31 38 30 2E 37 32 39 29 20 58 31 20 31 33 3A 32 37 3A 34 35 2E 32 36 36
R | 28 31 33 31 38 30 2E 37 33 39 29 20 58 32 20 31 33 3A 32 37 3A 34 35 2E 32 37 37
T | 28 31 33 31 38 31 2E 33 35 37 29 20 58 31 20 31 33 3A 32 37 3A 34 35 2E 38 39 35
R | 28 31 33 31 38 31 2E 33 37 31 29 20 58 32 20 31 33 3A 32 37 3A 34 35 2E 39 30 38
T | 28 31 33 31 38 31 2E 39 38 37 29 20 58 31 20 31 33 3A 32 37 3A 34 36 2E 35 32 35
R | 28 31 33 31 38 31 2E 39 39 38 29 20 58 32 20 31 33 3A 32 37 3A 34 36 2E 35 33 35
T | 28 31 33 31 38 32 2E 36 31 35 29 20 58 31 20 31 33 3A 32 37 3A 34 37 2E 31 35 32
